Type of hardware,Model,Submodel
Laptop-427,,M3Max
Cable,50ft,HDMI2.1
la,rAZER bLADE 15,Cr 9
we,Razer Kiyyo,4KK
Heeadphones,Snnhsr HD 600,Wireless
Keeyboard,RazerBlackWidow,3ireless
webc,,4K razer
SIM Card-cx6,Miccro SIM,at&
Moniror,dell ,---
mobi,Samsung GGalaxy S24,Pro Max
MobilePhone,128gb,Pixel 8
,AX55,rout netge
Cable,eTHERNET cAT6,Blue
SsM Card,NanoSIM,Verizzon
Lptp,0,449_32GB RAM
Mobile PPhone,sAMSUNG gALAXY s24,bro Max
Keyboard,@eychron Q1,136_Linear
Mositor,lg,Ultrawide
monit,  ,4k
OLED Touch-19b,DellXPS15,Laphop
mOBILE pHONE,iphon,1^8GB
mONITOR,SS RG Swft,Ultrawide
mONITOR,dELL uLTRAsHARP,Ultrawide
Mouse,ppl Mgc Ms,wIRELESS
Dell UltraSharp-251,Mon5tor,ltrwd
ultra,,Mo!itor Samsung Odysssy G9
Router,R4000,cISCO isr
head,Sony WH-1000XM5,Noise Cancelling
Webcam,Miicrosoft LifeCam,1080p
234_Webcam,Logitech C920,4k
mob,yaa_Samsung Galaxy S24 Un2ocked,
Cbl,et,2m-390
mOBILE pHONE,iPhone 15,Pr Mx
mONITOR,Samssung Odyssey G9,144Hz
Mouse,aPPLE mAGIC mOUSE,Ergonnomic
4yx_SIM Card,eSIM,
headp,senn,Wireless
Ro%ter,37x_4331/K9,TP-LinkArcher
Keyboard tACTILE,RazerBlackWidow,
Lawtop,leno,M3 Maxx
sim cARD,nANO sim,Prep^id
Headpphones,n/a,Over-Ear
headp,Sxudio,87z_Sony WH-1000XM5
MobilePhone,???,Pr Mx
???,Samsung Galaxy S24,Unlock@d
rou,r7000,TP-Lnk rchr
5g,???,SM Crd
cable,---,bRAIDED
rOUTER,cISCO isr,R7u00
C5ble,USB-CtoLightning,Braided
Keybboard,RRGB,5a9_Razer BlackWidow
cABLE,jisplayPort 1.4,50ft
SIM Card eSIM,,ver
10c_SteelSeries Rival 3,Ms,wIRELESS
Webcal,mic,4K
SIMCard,Nano SIM-ca0,at&t
SIM rard,,AT&TT 797_Micro SIM
,mICROSOFT lIFEcAM Wbcm,10m0p60
wEBCAM,unknown,xK
unknown,eLGATO fACECAM,Studiio
None,ipho,Ultra
mONITOR,Dell UltraShaarp,144Hz
mICROSOFT lIFEcAM,Stuuio,Webcam
Routter,TP-Link Archer,X55
,dELL xps 15,&2GB RAM
SIM Cakd,esim,5g
Heeadphones,Sony WH-1000XM5-z62,oVER-eAR
Monitor,De7l UltraSharp,559_4K
OcED,Mntr,Dell UltraSharp
50ft,Cabl4,HDM 2.1
Mbl Phn,Pixel 8,Ultra
SIM Card,Micro SI%,7y5_AT&T
Mobi#e Phone,87b_iPhone 15,Ultra
sTEELsERIES rIVAL 3,wIRELESS,
Laptop,dell ,cz0_OLED Touch
Laptob,RazerBlade15,23 Max
128GB,mOBILE pHONE,OnePlus 12-z0a
Kybrd,Corsair^K70,Wirelesss
Cable,SB-C t Lghtnng,Blue
Wireless-60c,Sennheiser HD 600-z28,Headphones
Ms,LLogitech MX Master 3,Wireed
,None,HD Pr Wbcm
Route2,Netgear Nighthawk,0
Sennheiser HD 600,Headphones,St0dio
,b44_4K,we Razer Kiyo
mob,Pro wax,Samsung Galaxw S24
